competition_id,season,CompetitionRound,MatchDay,HomeTeamGoals,AwayTeamGoals,aggregate,HomeTeamPosition,AwayTeamPosition,HomeTeam,AwayTeam
FR1,2022,14,6-11-2022,1,0,01:00:00,9,19,Ogc Nizza,Stade Brest 29
FR1,2022,14,6-11-2022,1,1,01:01:00,10,14,Clermont Foot 63,Montpellier Hsc
FR1,2022,14,6-11-2022,1,2,01:02:00,6,1,Fc Lorient,Fc Paris Saint Germain
FR1,2022,14,5-11-2022,4,2,04:02:00,17,18,Ac Ajaccio,Rc Strassburg Alsace
FR1,2022,14,4-11-2022,1,1,01:01:00,13,15,Es Troyes Ac,Aj Auxerre
FR1,2022,13,30-10-2022,1,0,01:00:00,8,7,Olympique Lyon,Losc Lille
FR1,2022,13,30-10-2022,1,2,01:02:00,4,10,Fc Lorient,Ogc Nizza
FR1,2022,13,30-10-2022,3,0,03:00:00,3,14,Fc Stade Rennes,Montpellier Hsc
FR1,2022,13,30-10-2022,0,0,00:00:00,18,13,Stade Brest 29,Stade Reims
FR1,2022,13,30-10-2022,1,1,01:01:00,15,9,Fc Nantes,Clermont Foot 63
FR1,2022,19,14-1-2023,1,0,01:00:00,2,19,Rc Lens,Aj Auxerre
FR1,2022,16,29-12-2022,3,1,03:01:00,10,4,Stade Reims,Fc Stade Rennes
FR1,2022,13,29-10-2022,2,2,02:02:00,17,5,Rc Strassburg Alsace,Olympique Marseille
FR1,2022,13,29-10-2022,4,3,04:03:00,1,12,Fc Paris Saint Germain,Es Troyes Ac
FR1,2022,13,30-10-2022,1,0,01:00:00,16,19,Aj Auxerre,Ac Ajaccio
FR1,2022,12,23-10-2022,1,1,01:01:00,12,15,Ogc Nizza,Fc Nantes
FR1,2022,12,23-10-2022,2,2,02:02:00,11,3,Es Troyes Ac,Fc Lorient
FR1,2022,12,23-10-2022,2,2,02:02:00,10,16,Fc Toulouse,Rc Strassburg Alsace
FR1,2022,15,11-11-2022,1,1,01:01:00,8,9,Olympique Lyon,Ogc Nizza
FR1,2022,12,23-10-2022,1,3,01:03:00,9,17,Clermont Foot 63,Stade Brest 29
FR1,2022,12,23-10-2022,1,2,01:02:00,20,4,Sco Angers,Fc Stade Rennes
FR1,2022,12,22-10-2022,0,1,00:01:00,5,2,Olympique Marseille,Rc Lens
FR1,2022,12,22-10-2022,1,2,01:02:00,13,8,Montpellier Hsc,Olympique Lyon
FR1,2022,12,23-10-2022,4,3,04:03:00,6,7,Losc Lille,As Monaco
FR1,2022,11,16-10-2022,1,0,01:00:00,1,4,Fc Paris Saint Germain,Olympique Marseille
FR1,2022,11,16-10-2022,1,1,01:01:00,6,8,As Monaco,Clermont Foot 63
FR1,2022,11,16-10-2022,1,1,01:01:00,12,18,Es Troyes Ac,Ac Ajaccio
FR1,2022,11,16-10-2022,3,2,03:02:00,5,10,Fc Stade Rennes,Olympique Lyon
FR1,2022,11,16-10-2022,4,1,04:01:00,14,20,Fc Nantes,Stade Brest 29
FR1,2022,11,16-10-2022,1,1,01:01:00,16,13,Aj Auxerre,Ogc Nizza
FR1,2022,13,28-10-2022,3,0,03:00:00,2,11,Rc Lens,Fc Toulouse
FR1,2022,12,23-10-2022,2,1,02:01:00,14,18,Stade Reims,Aj Auxerre
FR1,2022,11,15-10-2022,1,0,01:00:00,3,11,Rc Lens,Montpellier Hsc
FR1,2022,11,15-10-2022,0,0,00:00:00,2,15,Fc Lorient,Stade Reims
FR1,2022,13,30-10-2022,2,0,02:00:00,6,20,As Monaco,Sco Angers
FR1,2022,10,9-10-2022,1,0,01:00:00,7,4,Losc Lille,Rc Lens
FR1,2022,10,9-10-2022,3,0,03:00:00,6,19,Fc Stade Rennes,Fc Nantes
FR1,2022,10,9-10-2022,3,2,03:02:00,13,12,Ogc Nizza,Es Troyes Ac
FR1,2022,10,9-10-2022,2,1,02:01:00,8,16,Clermont Foot 63,Aj Auxerre
FR1,2022,10,9-10-2022,2,3,02:03:00,17,14,Sco Angers,Rc Strassburg Alsace
FR1,2022,10,9-10-2022,0,2,00:02:00,10,5,Montpellier Hsc,As Monaco
FR1,2022,18,11-1-2023,2,0,02:00:00,1,20,Fc Paris Saint Germain,Sco Angers
FR1,2022,10,8-10-2022,0,0,00:00:00,15,1,Stade Reims,Fc Paris Saint Germain
FR1,2022,11,16-10-2022,3,2,03:02:00,9,19,Fc Toulouse,Sco Angers
FR1,2022,9,2-10-2022,4,1,04:01:00,5,16,As Monaco,Fc Nantes
FR1,2022,9,2-10-2022,2,2,02:02:00,11,17,Es Troyes Ac,Stade Reims
FR1,2022,9,2-10-2022,4,2,04:02:00,12,10,Fc Toulouse,Montpellier Hsc
FR1,2022,10,7-10-2022,1,1,01:01:00,9,11,Olympique Lyon,Fc Toulouse
FR1,2022,9,2-10-2022,1,3,01:03:00,20,9,Ac Ajaccio,Clermont Foot 63
FR1,2022,9,2-10-2022,2,1,02:01:00,3,8,Fc Lorient,Losc Lille
FR1,2022,10,8-10-2022,1,2,01:02:00,3,18,Olympique Marseille,Ac Ajaccio
FR1,2022,9,1-10-2022,2,1,02:01:00,1,13,Fc Paris Saint Germain,Ogc Nizza
FR1,2022,9,1-10-2022,1,3,01:03:00,19,6,Rc Strassburg Alsace,Fc Stade Rennes
FR1,2022,8,18-9-2022,0,1,00:01:00,6,1,Olympique Lyon,Fc Paris Saint Germain
FR1,2022,8,18-9-2022,0,0,00:00:00,15,4,Fc Nantes,Rc Lens
FR1,2022,9,2-10-2022,1,1,01:01:00,14,18,Aj Auxerre,Stade Brest 29
FR1,2022,9,30-9-2022,0,3,00:03:00,15,2,Sco Angers,Olympique Marseille
FR1,2022,8,18-9-2022,0,1,00:01:00,13,14,Ogc Nizza,Sco Angers
FR1,2022,14,5-11-2022,1,2,01:02:00,20,2,Sco Angers,Rc Lens
FR1,2022,9,2-10-2022,1,0,01:00:00,4,7,Rc Lens,Olympique Lyon
FR1,2022,12,21-10-2022,0,3,00:03:00,19,1,Ac Ajaccio,Fc Paris Saint Germain
FR1,2022,8,18-9-2022,1,1,01:01:00,2,8,Olympique Marseille,Fc Stade Rennes
FR1,2022,8,16-9-2022,1,3,01:03:00,16,3,Aj Auxerre,Fc Lorient
FR1,2022,8,17-9-2022,2,1,02:01:00,9,18,Montpellier Hsc,Rc Strassburg Alsace
FR1,2022,7,11-9-2022,2,1,02:01:00,7,5,As Monaco,Olympique Lyon
FR1,2022,7,11-9-2022,1,0,01:00:00,11,16,Fc Toulouse,Stade Reims
FR1,2022,7,11-9-2022,3,2,03:02:00,4,15,Fc Lorient,Fc Nantes
FR1,2022,7,11-9-2022,2,1,02:01:00,19,10,Sco Angers,Montpellier Hsc
FR1,2022,7,11-9-2022,5,0,05:00:00,6,14,Fc Stade Rennes,Aj Auxerre
FR1,2022,7,11-9-2022,0,0,00:00:00,17,9,Rc Strassburg Alsace,Clermont Foot 63
FR1,2022,7,10-9-2022,2,1,02:01:00,2,8,Olympique Marseille,Losc Lille
FR1,2022,7,10-9-2022,1,0,01:00:00,1,18,Fc Paris Saint Germain,Stade Brest 29
FR1,2022,8,18-9-2022,1,3,01:03:00,11,10,Clermont Foot 63,Es Troyes Ac
FR1,2022,6,4-9-2022,0,1,00:01:00,16,10,Ogc Nizza,As Monaco
FR1,2022,6,4-9-2022,1,1,01:01:00,11,9,Es Troyes Ac,Fc Stade Rennes
FR1,2022,6,4-9-2022,1,1,01:01:00,14,3,Stade Reims,Rc Lens
FR1,2022,6,4-9-2022,1,1,01:01:00,17,18,Stade Brest 29,Rc Strassburg Alsace
FR1,2022,6,4-9-2022,2,0,02:00:00,8,15,Clermont Foot 63,Fc Toulouse
FR1,2022,6,4-9-2022,0,1,00:01:00,20,5,Ac Ajaccio,Fc Lorient
FR1,2022,6,4-9-2022,1,3,01:03:00,7,6,Montpellier Hsc,Losc Lille
FR1,2022,6,3-9-2022,0,3,00:03:00,13,1,Fc Nantes,Fc Paris Saint Germain
FR1,2022,6,3-9-2022,5,0,05:00:00,4,19,Olympique Lyon,Sco Angers
FR1,2022,6,3-9-2022,0,2,00:02:00,12,2,Aj Auxerre,Olympique Marseille
FR1,2022,5,31-8-2022,0,3,00:03:00,13,1,Fc Toulouse,Fc Paris Saint Germain
FR1,2022,11,14-10-2022,0,3,00:03:00,17,7,Rc Strassburg Alsace,Losc Lille
FR1,2022,5,31-8-2022,5,2,05:02:00,2,5,Rc Lens,Fc Lorient
FR1,2022,5,31-8-2022,1,0,01:00:00,3,12,Olympique Marseille,Clermont Foot 63
FR1,2022,5,31-8-2022,1,2,01:02:00,8,15,Losc Lille,Ogc Nizza
FR1,2022,5,31-8-2022,1,1,01:01:00,18,10,Rc Strassburg Alsace,Fc Nantes
FR1,2022,5,31-8-2022,2,1,02:01:00,4,9,Olympique Lyon,Aj Auxerre
FR1,2022,5,31-8-2022,2,0,02:00:00,6,20,Montpellier Hsc,Ac Ajaccio
FR1,2022,5,31-8-2022,2,4,02:04:00,19,14,Sco Angers,Stade Reims
FR1,2022,5,31-8-2022,2,4,02:04:00,16,11,As Monaco,Es Troyes Ac
FR1,2022,7,11-9-2022,0,1,00:01:00,20,12,Ac Ajaccio,Ogc Nizza
FR1,2022,4,28-8-2022,1,1,01:01:00,19,5,Stade Reims,Olympique Lyon
FR1,2022,4,28-8-2022,3,1,03:01:00,15,17,Es Troyes Ac,Sco Angers
FR1,2022,4,28-8-2022,0,7,00:07:00,14,8,Stade Brest 29,Montpellier Hsc
FR1,2022,8,17-9-2022,2,1,02:01:00,7,12,Losc Lille,Fc Toulouse
FR1,2022,4,28-8-2022,2,1,02:01:00,4,9,Fc Lorient,Clermont Foot 63
FR1,2022,4,28-8-2022,3,1,03:01:00,11,10,Fc Nantes,Fc Toulouse
FR1,2022,4,27-8-2022,2,1,02:01:00,3,13,Rc Lens,Fc Stade Rennes
FR1,2022,4,28-8-2022,0,3,00:03:00,18,2,Ogc Nizza,Olympique Marseille
FR1,2022,4,27-8-2022,1,0,01:00:00,7,16,Aj Auxerre,Rc Strassburg Alsace
FR1,2022,7,9-9-2022,1,0,01:00:00,3,13,Rc Lens,Es Troyes Ac
FR1,2022,8,18-9-2022,0,3,00:03:00,17,5,Stade Reims,As Monaco
FR1,2022,3,21-8-2022,2,2,02:02:00,7,4,Fc Toulouse,Fc Lorient
FR1,2022,3,21-8-2022,1,2,01:02:00,13,10,Montpellier Hsc,Aj Auxerre
FR1,2022,3,21-8-2022,1,0,01:00:00,6,15,Clermont Foot 63,Ogc Nizza
FR1,2022,3,21-8-2022,1,3,01:03:00,17,8,Sco Angers,Stade Brest 29
FR1,2022,3,21-8-2022,1,1,01:01:00,14,19,Rc Strassburg Alsace,Stade Reims
FR1,2022,3,20-8-2022,2,1,02:01:00,2,16,Olympique Marseille,Fc Nantes
FR1,2022,3,20-8-2022,1,4,01:04:00,11,3,As Monaco,Rc Lens
FR1,2022,3,19-8-2022,4,1,04:01:00,5,20,Olympique Lyon,Es Troyes Ac
FR1,2022,2,7-9-2022,3,1,03:01:00,2,8,Fc Lorient,Olympique Lyon
FR1,2022,2,14-8-2022,1,1,01:01:00,14,4,Stade Brest 29,Olympique Marseille
FR1,2022,5,31-8-2022,3,1,03:01:00,7,17,Fc Stade Rennes,Stade Brest 29
FR1,2022,2,14-8-2022,1,1,01:01:00,12,15,Ogc Nizza,Rc Strassburg Alsace
FR1,2022,3,21-8-2022,2,1,02:01:00,9,18,Fc Stade Rennes,Ac Ajaccio
FR1,2022,2,14-8-2022,2,2,02:02:00,18,11,Aj Auxerre,Sco Angers
FR1,2022,10,9-10-2022,1,2,01:02:00,20,2,Stade Brest 29,Fc Lorient
